code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
mcl,mt mckinley/ak/us,mcl,y,ak,us,namer,mt mckinley
mcm,monte carlo/mc:monaco,mcm,y,,mc,europ,monte carlo
mcn,macon/ga/us:lewis b wilson,mcn,y,ga,us,namer,macon
mco,orlando/fl/us:orlando intl,orl,y,fl,us,namer,orlando
mcp,macapa/ap/br:internacional,mcp,y,ap,br,samer,macapa
mcq,miskolc/hu,mcq,y,,hu,eeuro,miskolc
mcr,melchor de menco/gt,mcr,y,,gt,camer,melchor de menco
mcs,monte caseros/cr/ar,mcs,y,cr,ar,samer,monte caseros
mct,muscat/om:seeb,mct,y,,om,meast,muscat
mcu,montlucon/fr:gueret (lepaud),mcu,y,,fr,europ,montlucon
mcv,mcarthur river/nt/au,mcv,y,nt,au,austl,mcarthur river
mcw,mason city/ia/us,mcw,y,ia,us,namer,mason city
mcx,makhachkala/ru,mcx,y,,ru,euras,makhachkala
mcy,sunshine co/ql/au:maroochydore,mcy,y,ql,au,austl,sunshine coast
mcz,maceio/al/br:palmares,mcz,y,al,br,samer,maceio
mda,san antonio/tx/us:martindale,sat,y,tx,us,namer,san antonio
mdb,melinda/bz,mdb,y,,bz,camer,melinda
mdc,manado/id:samratulangi,mdc,y,,id,seasi,manado
mdd,midland/tx/us:airpark,maf,y,tx,us,namer,midland
mde,medellin/co:j m cordova,mde,y,,co,samer,medellin
mdf,medford/wi/us,mdf,y,wi,us,namer,medford
mdg,mudanjiang/cn,mdg,y,,cn,asia,mudanjiang
mdh,carbondale/il/us:sth illinois,mdh,y,il,us,namer,carbondale
mdi,makurdi/ng,mdi,y,,ng,afric,makurdi
mdj,madras/or/us:city county,mdj,y,or,us,namer,madras
mdk,mbandaka/cd,mdk,y,,cd,afric,mbandaka
mdl,mandalay/mm:annisaton,mdl,y,,mm,seasi,mandalay
mdm,munduku/pg,mdm,y,,pg,austl,munduku
mdn,madison/in/us:jefferson grd,mdn,y,in,us,namer,madison
mdo,middleton island/ak/us:interm,mdo,y,ak,us,namer,middleton island
mdp,mindiptana/id,mdp,y,,id,seasi,mindiptana
jdx,houston/tx/us:central bus,hou,y,tx,us,namer,houston
jdy,downey/ca/us:heliport,jdy,y,ca,us,namer,downey
jdz,jingdezhen/cn,jdz,y,,cn,asia,jingdezhen
jed,jeddah/sa:king abdulaziz int,jed,y,,sa,meast,jeddah
jee,jeremie/ht,jee,y,,ht,carib,jeremie
jef,jefferson city/mo/us:memorial,jef,y,mo,us,namer,jefferson city
jeg,aasiaat/gl,jeg,y,,gl,europ,aasiaat
jej,jeh/mh,jej,y,,mh,pacif,jeh
jem,emeryville/ca/us:heliport,jem,y,ca,us,namer,emeryville
jeq,jequie/ba/br,jeq,y,ba,br,samer,jequie
jer,jersey/gb:states,jer,y,,gb,europ,jersey
jev,evry/fr:heliport,jev,y,,fr,europ,evry
jfk,new york/ny/us:john f kennedy,nyc,y,ny,us,namer,new york
jfm,fremantle/wa/au:heliport,jfm,y,wa,au,austl,fremantle
jfn,jefferson/oh/us:ashtabula,jfn,y,oh,us,namer,jefferson
jfr,paamiut/gl,jfr,y,,gl,europ,paamiut
jga,jamnagar/in:govardhanpur,jga,y,,in,asia,jamnagar
jgb,jagdalpur/in,jgb,y,,in,asia,jagdalpur
jgc,grand canyon/az/us:heliport,gcn,y,az,us,namer,grand canyon
jge,geoje/kr:heliport,jge,y,,kr,asia,geoje
jgl,atlanta jgl/ga/us:galleria,atl,y,ga,us,namer,atlanta jgl
jgn,jiayuguan/cn,jgn,y,,cn,asia,jiayuguan
jgo,qeqertarsuaq/gl,jgo,y,,gl,europ,qeqertarsuaq
jgp,greenway plaza/tx/us:heliport,hou,y,tx,us,namer,greenway plaza
jgq,houston/tx/us:transco gale hpt,hou,y,tx,us,namer,houston
jgr,groennedal/gl:heliport,jgr,y,,gl,europ,groennedal
jgs,ji an/cn:ji an,jgs,y,,cn,asia,ji an
jgx,glendale/ca/us:heliport,jgx,y,ca,us,namer,glendale
jhb,johor bahru/my:sultan ismail,jhb,y,,my,seasi,johor bahru
jhc,garden city/ny/us:island hpt,jhc,y,ny,us,namer,garden city
jhe,helsingborg/se:helsingborg hpt,agh,y,,se,europ,helsingborg
jhg,jinghong/cn:gasa,jhg,y,,cn,asia,jinghong
jhm,kapalua/hi/us,jhm,y,hi,us,namer,kapalua
jhq,shute harbour/ql/au:heliport,jhq,y,ql,au,austl,shute harbour
jhs,sisimiut/gl,jhs,y,,gl,europ,sisimiut
jhw,jamestown/ny/us:jamestown,jhw,y,ny,us,namer,jamestown
jhy,cambridge/ma/us:hyatt reg hpt,jhy,y,ma,us,namer,cambridge
jia,juina/mt/br,jia,y,mt,br,samer,juina
jib,djibouti/dj:ambouli,jib,y,,dj,afric,djibouti
jid,los angeles/ca/us:cty ind hpt,lax,y,ca,us,namer,los angeles
jij,jijiga/et,jij,y,,et,afric,jijiga
jik,ikaria island/gr:airport,jik,y,,gr,europ,ikaria island
jil,jilin/cn,jil,y,,cn,asia,jilin
jim,jimma/et,jim,y,,et,afric,jimma
jin,jinja/ug,jin,y,,ug,afric,jinja
jio,ontario/ca/us:intl heliport,ont,y,ca,us,namer,ontario
jip,jipijapa/ec,jip,y,,ec,samer,jipijapa
jir,jiri/np,jir,y,,np,asia,jiri
jiu,jiujiang/cn,jiu,y,,cn,asia,jiujiang
jiw,jiwani/pk,jiw,y,,pk,asia,jiwani
jji,juanjui/pe,jji,y,,pe,samer,juanjui
jjn,jinjiang/cn:quanzhou,jjn,y,,cn,asia,jinjiang
jju,qaqortoq/gl:hpt,jju,y,,gl,europ,qaqortoq
jkg,jonkoping/se:axamo,jkg,y,,se,europ,jonkoping
jkh,chios/gr,jkh,y,,gr,europ,chios
jkr,janakpur/np,jkr,y,,np,asia,janakpur
jkt,jakarta/id,jkt,n,,id,seasi,jakarta
jkv,jacksonville/tx/us,jkv,y,tx,us,namer,jacksonville
jla,cooper lodge/ak/us:quartz cree,jla,y,ak,us,namer,cooper lodge
jlb,long beach/ca/us:heliport,lgb,y,ca,us,namer,long beach
jld,landskrona/se:heliport,jld,y,,se,europ,landskrona
jlh,arlington heights/il/us:us arm,jlh,y,il,us,namer,arlington heights
jln,joplin/mo/us,jln,y,mo,us,namer,joplin
jlo,jesolo/it,jlo,y,,it,europ,jesolo
