TZ_GROUP,REL_COUNTRY_CODE,YEAR,DIFFER_GMT,DIFFER_SIGN,DAYLIGHT_SAVINGS,ED,DD,ED_STATUS,DD_STATUS,HEMISPHERE
111,US,2008,36,N,4,09/03/2008 11:00:00,02/11/2008 10:00:00,V,V,N
112,US,2007,40,N,4,11/03/2007 12:00:00,04/11/2007 11:00:00,V,V,N
112,US,2008,40,N,4,09/03/2008 12:00:00,02/11/2008 11:00:00,V,V,N
113,US,2007,40,N,0,,,V,V,N
113,US,2008,40,N,0,,,V,V,N
114,UY,2007,12,N,4,07/10/2007 05:00:00,11/03/2007 04:00:00,V,V,S
114,UY,2008,12,N,4,05/10/2008 05:00:00,09/03/2008 04:00:00,V,V,S
114,UY,2009,12,N,4,01/01/2010,08/03/2009 04:00:00,U,V,S
138,UZ,2007,20,P,0,,,V,V,N
138,UZ,2008,20,P,0,,,V,V,N
,VC,2007,16,N,0,,,V,V,N
,VC,2008,16,N,0,,,V,V,N
,VE,2007,16,N,0,,,V,V,N
,VE,2008,16,N,0,,,V,V,N
,VG,2007,16,N,0,,,V,V,N
,VG,2008,16,N,0,,,V,V,N
,VI,2007,16,N,0,,,V,V,N
,VI,2008,16,N,0,,,V,V,N
,VN,2007,28,P,0,,,V,V,N
,VN,2008,28,P,0,,,V,V,N
115,VU,2007,44,P,0,,,V,V,S
115,VU,2008,44,P,0,,,V,V,S
,WF,2007,48,P,0,,,V,V,S
,WF,2008,48,P,0,,,V,V,S
,WS,2007,44,N,0,,,V,V,S
,WS,2008,44,N,0,,,V,V,S
,YE,2007,12,P,0,,,V,V,N
,YE,2008,12,P,0,,,V,V,N
,YT,2007,12,P,0,,,V,V,S
,YT,2008,12,P,0,,,V,V,S
,ZA,2007,8,P,0,,,V,V,S
,ZA,2008,8,P,0,,,V,V,S
,ZM,2007,8,P,0,,,V,V,S
,ZM,2008,8,P,0,,,V,V,S
,ZW,2007,8,P,0,,,V,V,S
,ZW,2008,8,P,0,,,V,V,S
,ZZ,2007,0,P,0,,,V,V,N
,ZZ,2008,0,P,0,,,V,V,N
,MR,2006,0,P,0,,,V,V,N
,MS,2005,16,N,0,,,V,V,N
,MS,2006,16,N,0,,,V,V,N
078,MT,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
078,MT,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
,MU,2005,16,P,0,,,V,V,N
,MU,2006,16,P,0,,,V,V,N
,MV,2005,20,P,0,,,V,V,N
,MV,2006,20,P,0,,,V,V,N
,MW,2005,8,P,0,,,V,V,S
,MW,2006,8,P,0,,,V,V,S
079,MX,2005,28,N,4,03/04/2005 09:00:00,30/10/2005 08:00:00,V,V,N
079,MX,2006,28,N,4,02/04/2006 09:00:00,29/10/2006 08:00:00,V,V,N
080,MX,2005,32,N,4,03/04/2005 10:00:00,30/10/2005 09:00:00,V,V,N
080,MX,2006,32,N,4,02/04/2006 10:00:00,29/10/2006 09:00:00,V,V,N
097,MX,2005,28,N,0,,,V,V,N
097,MX,2006,28,N,0,,,V,V,N
168,MX,2005,24,N,4,03/04/2005 08:00:00,30/10/2005 07:00:00,V,V,N
168,MX,2006,24,N,4,02/04/2006 08:00:00,29/10/2006 07:00:00,V,V,N
,MY,2005,32,P,0,,,V,V,N
,MY,2006,32,P,0,,,V,V,N
,MZ,2005,8,P,0,,,V,V,S
,MZ,2006,8,P,0,,,V,V,S
004,NA,2005,4,P,4,04/09/2005 01:00:00,03/04/2005,V,V,S
004,NA,2006,4,P,4,03/09/2006 01:00:00,02/04/2006,V,V,S
165,NC,2005,44,P,0,,,V,V,S
165,NC,2006,44,P,0,,,V,V,S
,NE,2005,4,P,0,,,V,V,N
,NE,2006,4,P,0,,,V,V,N
,NF,2005,46,P,0,,,V,V,S
,NF,2006,46,P,0,,,V,V,S
,NG,2005,4,P,0,,,V,V,N
,NG,2006,4,P,0,,,V,V,N
193,NI,2005,24,N,0,,,V,V,N
193,NI,2006,24,N,0,,,V,V,N
082,NL,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
082,NL,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
083,NO,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
083,NO,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
,NP,2005,23,P,0,,,V,V,N
,NP,2006,23,P,0,,,V,V,N
,NR,2005,48,P,0,,,V,V,S
,NR,2006,48,P,0,,,V,V,S
,NU,2005,44,N,0,,,V,V,S
,NU,2006,44,N,0,,,V,V,S
084,NZ,2005,48,P,4,01/10/2005 14:00:00,19/03/2005 14:00:00,V,V,S
084,NZ,2006,48,P,4,07/10/2006 14:00:00,18/03/2006 14:00:00,V,V,S
085,NZ,2005,51,P,4,01/10/2005 14:00:00,19/03/2005 14:00:00,V,V,S
085,NZ,2006,51,P,4,07/10/2006 14:00:00,18/03/2006 14:00:00,V,V,S
,OM,2005,16,P,0,,,V,V,N
,OM,2006,16,P,0,,,V,V,N
,PA,2005,20,N,0,,,V,V,N
,PA,2006,20,N,0,,,V,V,N
155,PE,2005,20,N,0,,,V,V,S
155,PE,2006,20,N,0,,,V,V,S
086,PF,2005,38,N,0,,,V,V,S
086,PF,2006,38,N,0,,,V,V,S
087,PF,2005,40,N,0,,,V,V,S
087,PF,2006,40,N,0,,,V,V,S
088,PF,2005,36,N,0,,,V,V,S
088,PF,2006,36,N,0,,,V,V,S
,PG,2005,40,P,0,,,V,V,S
,PG,2006,40,P,0,,,V,V,S
,PH,2005,32,P,0,,,V,V,N
,PH,2006,32,P,0,,,V,V,N
163,PK,2005,20,P,0,,,V,V,N
163,PK,2006,20,P,0,,,V,V,N
089,PL,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
089,PL,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
090,PM,2005,12,N,4,03/04/2005 05:00:00,30/10/2005 04:00:00,V,V,N
090,PM,2006,12,N,4,02/04/2006 05:00:00,29/10/2006 04:00:00,V,V,N
,PR,2005,16,N,0,,,V,V,N
190,PS,2005,8,P,4,31/03/2005 23:00:00,29/09/2005 22:00:00,V,V,N
190,PS,2006,8,P,4,30/03/2006 23:00:00,28/09/2006 22:00:00,V,V,N
092,PT,2005,0,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
092,PT,2006,0,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
158,PT,2005,4,N,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
158,PT,2006,4,N,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
,PW,2005,36,P,0,,,V,V,S
,PW,2006,36,P,0,,,V,V,S
093,PY,2005,16,N,4,17/10/2005 04:00:00,13/03/2005 03:00:00,V,V,S
093,PY,2006,16,N,4,16/10/2006 04:00:00,12/03/2006 03:00:00,V,V,S
,QA,2005,12,P,0,,,V,V,N
,QA,2006,12,P,0,,,V,V,N
,RE,2005,16,P,0,,,V,V,S
,RE,2006,16,P,0,,,V,V,S
094,RO,2005,8,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
094,RO,2006,8,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
189,RS,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
189,RS,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
045,ES,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
046,ES,2006,0,P,4,26/03/2006 02:00:00,29/10/2006 02:00:00,V,V,N
,PR,2006,16,N,0,,,V,V,N
042,EC,2006,20,N,4,,,V,V,N
043,EC,2006,24,N,4,,,V,V,N
053,GB,2006,0,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
040,DE,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
,LC,2003,16,N,0,,,V,V,N
052,FR,2005,4,P,4,27/03/2005 01:00:00,30/10/2005 01:00:00,V,V,N
052,FR,2006,4,P,4,26/03/2006 01:00:00,29/10/2006 01:00:00,V,V,N
091,LI,2003,4,P,4,31/03/2003,27/10/2003,V,V,N
187,LK,2003,22,P,0,,,V,V,N
,LR,2003,0,P,0,,,V,V,N
,LS,2003,8,P,0,,,V,V,S
125,LT,2003,8,P,4,31/03/2003,27/10/2003,V,V,N
073,LU,2003,4,P,4,31/03/2003,27/10/2003,V,V,N
126,LV,2003,8,P,4,31/03/2003,27/10/2003,V,V,N
122,LY,2003,8,P,0,,,V,V,N
,MA,2003,0,P,0,,,V,V,N
074,MC,2003,4,P,4,31/03/2003,27/10/2003,V,V,N
135,MD,2003,8,P,4,31/03/2003,27/10/2003,V,V,N
188,ME,2003,4,P,4,31/03/2003,27/10/2003,V,V,N
,MG,2003,12,P,0,,,V,V,S
075,MH,2003,48,P,0,,,V,V,S
076,MH,2003,48,P,0,,,V,V,S
159,MK,2003,4,P,4,31/03/2003,27/10/2003,V,V,N
,ML,2003,0,P,0,,,V,V,N
,MM,2003,26,P,0,,,V,V,N
175,MN,2003,32,P,4,29/03/2003,27/09/2003,V,V,N
