CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
ZLQ,ZURICH FLUGHAFEN,ZURICH FLUGHAFE,ZURI/CH:ZURICH FLUGHAFEN RAILW,ZRH,Y,,CH,EUROP,ITC2,CH032,7.5,46.92,,N,ZURICH FLUGHAFEN
ZLR,LINARES,LINARES,LINARES/CL:OFF-,ZLR,N,,CL,SAMER,ITC1,CL033,-71.7,-46.55,,N,LINARES
ZLS,LIVERPOOL STREET,LIVERPOOL STREE,LONDON/GB:LIVERPOOL STREET,LON,Y,,GB,EUROP,ITC2,GB053,-2.867,53.33,,Y,LONDON
ZLT,LA TABATIERE,LA TABATIERE,LA TABATIERE/QC/CA,ZLT,Y,QC,CA,NAMER,ITC1,CA024,-59,51,5844,Y,LA TABATIERE
ZLU,LUDWIGSLUST,LUDWIGSLUST,LUDWIGSLUST/DE:RAILWAY STATION,ZLU,Y,,DE,EUROP,ITC2,DE040,8.567,50.03,,N,LUDWIGSLUST
ZLV,LUOSTO,LUOSTO,LUOSTO/FI:BUS STATION,ZLV,Y,,FI,EUROP,ITC2,FI047,26.08,61.35,,N,LUOSTO
ZLW,PASIR GUDANG PORT,PASIR GUDANG PO,PASIR GUDANG/MY,ZLW,Y,,MY,SEASI,ITC3,MY,103.9,1.449,,N,PASIR GUDANG
ZLX,LONDON BRIT RAIL,LONDON BRIT RAI,LONDON/GB:BRITISH RAIL TERM,LON,Y,,GB,EUROP,ITC2,GB053,0.2333,51.88,,N,LONDON
ZLY,ALBANY NY RAIL,ALBANY NY RAIL,ALBANY/NY/US:RAILWAY STATION,ALB,Y,NY,US,NAMER,ITC1,US105,-73.8,42.73,,N,ALBANY
ZLZ,LEEDS,LEEDS,LEEDS/GB:LEEDS BUS,LBA,Y,,GB,EUROP,ITC2,GB053,-1.65,53.87,,N,LEEDS
ZMA,MANSFIELD,MANSFIELD,MANSFIELD/GB:BUS STATION,ZMA,Y,,GB,EUROP,ITC2,GB053,-1.183,53.15,,N,MANSFIELD
ZMB,HAMBURG HBF,HAMBURG HBF,HAMBURG HBF/DE:RAILWAY,HAM,Y,,DE,EUROP,ITC2,DE040,9.983,53.63,,Y,HAMBURG HBF
ZMC,MIEDZYZDROJE BUS,MIEDZYZDROJE BU,MIEDZYZDROJE/PL:BUS STATION,ZMC,Y,,PL,EEURO,ITC2,PL089,14.43,53.93,,N,MIEDZYZDROJE
ZMD,SENA MADUREIRA,SENA MADUREIRA,SENA MADUREIRA/AC/BR,ZMD,Y,AC,BR,SAMER,ITC1,BR019,-68.67,-9.067,,N,SENA MADUREIRA
ZME,METRO PARK RAIL,METRO PARK RAIL,METRO PARK/NJ/US:METROPARK RAI,NYC,Y,NJ,US,NAMER,ITC1,US105,-74.17,40.68,,Y,METRO PARK
ZMF,NAPLES BEVERELLO,NAPLES BEVERELL,NAPLES/IT:BEVERELLO HARBOUR,NAP,Y,,IT,EUROP,ITC2,IT067,14.26,40.84,,N,NAPLES
ZMG,MAGDEBURG,MAGDEBURG,MAGDEBURG/DE:RAILWAY STATION,ZMG,Y,,DE,EUROP,ITC2,DE040,11.58,52.25,,Y,MAGDEBURG
ZMH,MILE RANCH 108,MILE RANCH 108,MILE RANCH 108/BC/CA,ZMH,Y,BC,CA,NAMER,ITC1,CA031,-121.4,51.7,5845,N,MILE RANCH 108
ZMI,NAPLES MERGELLINA,NAPLES MERGELLI,NAPLES/IT:MERGELLINA RAILWAY S,NAP,Y,,IT,EUROP,ITC2,IT067,14.28,40.88,,N,NAPLES
ZMJ,NAPLES MERGELLINA,NAPLES MERGELLI,NAPLES/IT:MERGELLINA HARBOUR,NAP,Y,,IT,EUROP,ITC2,IT067,14.22,40.83,,N,NAPLES
ZMK,BINTULU PORT,BINTULU PORT,BINTULU/MY:BINTULU PORT,BTU,Y,,MY,SEASI,ITC3,MY,113,3.167,,N,BINTULU
ZML,MILWAUKEE RAILWAY,MILWAUKEE RAILW,MILWAUKEE/WI/US:RAILWAY STATIO,MKE,Y,WI,US,NAMER,ITC1,US107,-87.9,42.95,,N,MILWAUKEE
ZMM,ZAMORA,ZAMORA,ZAMORA/MX,ZMM,Y,,MX,NAMER,ITC1,MX168,-102.3,19.98,,N,ZAMORA
ZMN,MONTE SIAO,MONTE SIAO,MONTE SIAO/MG/BR:MONTE SIAO,ZMN,Y,MG,BR,SAMER,ITC1,BR015,-46.57,-22.43,,N,MONTE SIAO
ZMO,MODENA,MODENA,MODENA/IT:BUS STATION,ZMO,Y,,IT,EUROP,ITC2,IT067,10.92,44.65,,N,MODENA
ZMP,MANCHESTER BUS ST,MANCHESTER BUS,MANCHESTER/GB:BUS STATION,MAN,Y,,GB,EUROP,ITC2,GB053,-2.267,53.35,,N,MANCHESTER
ZMQ,RAUFOSS RAIL STN,RAUFOSS RAIL ST,RAUFOSS/NO:RAILWAY STATION,ZMQ,Y,,NO,EUROP,ITC2,NO083,10.61,60.72,,N,RAUFOSS
ZMR,MERAN,MERAN,MERAN/IT:BUS STATION,ZMR,Y,,IT,EUROP,ITC2,IT067,11.15,46.67,,N,MERAN
ZMS,FLORENCE,FLORENCE,FLORENCE/IT:S.M. NOVELLA RAIL,FLR,Y,,IT,EUROP,ITC2,IT067,11.2,43.8,,N,FLORENCE
ZMT,MASSET,MASSET,MASSET/BC/CA,ZMT,Y,BC,CA,NAMER,ITC1,CA031,-132.2,54.02,5846,Y,MASSET
ZMU,MUNICH,MUNICH,MUNICH/DE:HBF RAILWAY STATION,MUC,Y,,DE,EUROP,ITC2,DE040,11.7,48.13,,Y,MUNICH
ZMV,MELVILLE,MELVILLE,MELVILLE/NY/US:OFF-,ZMV,N,NY,US,NAMER,ITC1,US108,-73.8,42.73,,N,MELVILLE
ZMW,BRANDE,BRANDE,BRANDE/DK:BRANDE BUS STATION,ZMW,Y,,DK,EUROP,ITC2,DK041,9.13,55.94,,N,BRANDE
ZMX,TYNSET RAIL STA,TYNSET RAIL STA,TYNSET/NO:RAILWAY STATION,ZMX,Y,,NO,EUROP,ITC2,NO083,10.77,62.28,,N,TYNSET
ZMY,HUANGPU,HUANGPU,HUANGPU/CN:HARBOUR,ZMY,Y,,CN,ASIA,ITC3,CN035,113.4,23.1,,N,HUANGPU
ZMZ,BJERKA RAIL STN,BJERKA RAIL STN,BJERKA/NO:RAILWAY STATION,ZMZ,Y,,NO,EUROP,ITC2,NO083,13.83,66.15,,N,BJERKA
ZNA,NANAIMO ZNA,NANAIMO ZNA,NANAIMO/BC/CA:HARBOUR,YCD,Y,BC,CA,NAMER,ITC1,CA031,-123.9,49.15,5847,Y,NANAIMO
ZNB,HAMM RAIL,HAMM RAIL,HAMM/DE:HAMM RAIL,ZNB,Y,,DE,EUROP,ITC2,DE040,7.8,51.67,,Y,HAMM
ZNC,NYAC,NYAC,NYAC/AK/US,ZNC,Y,AK,US,NAMER,ITC1,US111,-160,60.98,5848,N,NYAC
ZND,ZINDER,ZINDER,ZINDER/NE,ZND,Y,,NE,AFRIC,ITC2,NE,8.983,13.78,5849,N,ZINDER
ZNE,NEWMAN,NEWMAN,NEWMAN/WA/AU,ZNE,Y,WA,AU,AUSTL,ITC3,AU011,119.9,-23.42,5850,Y,NEWMAN
ZNF,HANAU,HANAU,HANAU/DE:OFF-,ZNF,N,,DE,EUROP,ITC2,DE040,,,,N,HANAU
ZNG,NEGGINAN,NEGGINAN,NEGGINAN/MB/CA,ZNG,Y,MB,CA,NAMER,ITC1,CA027,-97.13,53,5851,N,NEGGINAN
ZNH,HETTLINGEN,HETTLINGEN,HETTLINGEN/DE:OFF-,ZNH,N,,DE,EUROP,ITC2,DE040,,,,N,HETTLINGEN
ZNI,HEIDENHEIM,HEIDENHEIM,HEIDENHEIM/DE:OFF-,ZNI,N,,DE,EUROP,ITC2,DE040,,,,N,HEIDENHEIM
ZNJ,HEILBRONN,HEILBRONN,HEILBRONN/DE:OFF-,ZNJ,N,,DE,EUROP,ITC2,DE040,,,,N,HEILBRONN
ZNK,HERFORD,HERFORD,HERFORD/DE:OFF-,ZNK,N,,DE,EUROP,ITC2,DE040,,,,N,HERFORD
ZNL,HERNE,HERNE,HERNE/DE:OFF-,ZNL,N,,DE,EUROP,ITC2,DE040,,,,N,HERNE
