Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
KTM	VNKT	1282644	Tribhuwan Airport	27.6965800	85.3591000	NP	AIRP	0	Asia/Kathmandu	Gauchar Airport,Gaucher Airport,KTM,Kathmandu Airport,Tribhuvan Airport,VNKT
BWA	VNBW	1283622	Bhairahawā	27.5057000	83.4162500	NP	AIRP	0	Asia/Kathmandu	BWA,Bhairawa,Bhairawah,Bhairhawa,Bhairhwa,VNBW
MDL	VYMD	1311876	Mandalay	21.9500000	96.1000000	MM	AIRP	0	Asia/Rangoon	MDL,Mandalay,VYMD
AKY	VYSW	1329416	Akyab	20.1327100	92.8726300	MM	AIRP	0	Asia/Rangoon	AKY,VYSW
LHE	OPLA	1331475	Lahore Airfield	31.5215600	74.4035900	PK	AIRP	0	Asia/Karachi	LHE,Lahore,OPLA
MWD	OPMI	1333471	Miānwāli Airfield	32.5629400	71.5720500	PK	AIRP	0	Asia/Karachi	MWD,OPMI
ZAH	OIZH	1336272	Zahedan International Airport	29.4756900	60.9061900	IR	AIRP	0	Asia/Tehran	OIZH,ZAH
TUK	OPTU	1337358	Turbat International Airport	25.9863900	63.0283300	PK	AIRP	0	Asia/Karachi	OPTU,TUK,Turbat New Airport
JAA	OAJL	1453109	Jalālābād Airfield	34.3998600	70.4986500	AF	AIRP	0	Asia/Kabul	JAA,Jalalabad Airfield,Jalālābād Airfield,OAJL,mydan hwayy jlal abad,میدانٔ هوائئ جلال آباد
DSK	OPDI	1453807	Dera Ismail Khan	31.9094200	70.8966400	PK	AIRP	0	Asia/Karachi	DSK,Dera Ismail Khan,OPDI
