code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
brb,barreirinhas,barreirinhas,barreirinhas/ma/br,brb,y,ma,br,samer,itc1,br016,-42.83,-2.833,650,n,barreirinhas,
brc,san carlos de b,san carlos de b,san carlo/rn/ar:bariloche intl,brc,y,rn,ar,samer,itc1,ar003,-71.17,-41.13,651,y,san carlos de bariloche,
brd,brainerd,brainerd,brainerd/mn/us:crow wing cnty,brd,y,mn,us,namer,itc1,us107,-94.13,46.4,652,y,brainerd,
bre,bremen,bremen,bremen/de:bremen,bre,y,,de,europ,itc2,de040,8.783,53.05,653,y,bremen,
brf,bradford,bradford,bradford/gb,brf,y,,gb,europ,itc2,gb053,-1.75,53.8,,y,bradford,
brg,whitesburg,whitesburg,whitesburg/ky/us:municipal,brg,y,ky,us,namer,itc1,us105,-82.82,37.12,,n,whitesburg,
brh,brahman,brahman,brahman/pg,brh,y,,pg,austl,itc3,pg,145.4,-5.7,654,n,brahman,
bri,bari,bari,bari/it:palese,bri,y,,it,europ,itc2,it067,16.78,41.13,655,y,bari,
brj,bright,bright,bright/vi/au,brj,y,vi,au,austl,itc3,au007,147,-36.73,,n,bright,
brk,bourke,bourke,bourke/ns/au,brk,y,ns,au,austl,itc3,au007,146,-30.05,656,y,bourke,
brl,burlington,burlington,burlington/ia/us,brl,y,ia,us,namer,itc1,us107,-91.12,40.78,657,y,burlington,
