ANM	ANM	Antsirabato	Antalaha		MG	150000S	0501900E	0	A
ANN	ANN	Annette Island Airport	Annette Island	AK	US	550213N	1313414W	5	A
ANO	ANO	Angoche Airport	Angoche		MZ	161040S	0395613E	0	A
ANP	ANP	Lee Airport	Annapolis	MD	US	385900N	0763000W	1	A
ANQ	ANQ	Tri-State Steuben County Airport	Angola	IN	US	413800N	0850000W	1	A
ANR	BRU	Antwerp-Brussels North Airport	Brussels		BE	511124N	0042736E	0	A
ANS	ANS	Andahuaylas Airport	Andahuaylas		PE	134300S	0732121W	0	A
ANT	ANT	St. Anton Airport	Saint Anton		AT	470900N	0101700E	0	A
ANU	ANU	V.C. Bird International Airport	Antigua		AG	170630N	0614550W	0	A
ANV	ANV	Anvik Airport	Anvik	AK	US	623852N	1601120W	5	A
ANW	ANW	Ainsworth Airport	Ainsworth	NE	US	423300N	0995200W	2	A
ANX	ANX	Andenes Airport	Andenes		NO	691735N	0160830E	0	A
ANY	ANY	Anthony Airport	Anthony	KS	US	370900N	0980200W	2	A
ANZ	ANZ	Angus Downs Airport	Angus Downs	NT	AU	250500S	1321000E	3A	A
AOA	AOA	Aroa Airport	Aroa		PG	090300S	1464800E	0	A
AOB	AOB	Annanberg Airport	Annanberg		PG	045500S	1443900E	0	A
AOC	AOC	Altenburg Nobitz Airport	Altenburg		DE	505900N	0122700E	0	A
AOD	AOD	Abou Deia Airport	Abou Deia		TD	112829N	0191720E	0	A
AOE	ESK	Anadolu University Airport	Eskisehir		TR	390000N	0303000E	0	A
AOG	AOG	Anshan Airport	Anshan		CN	411000N	1230200E	0	A
AOH	AOH	Allen County Airport	Lima	OH	US	404600N	0840600W	1	A
AOI	AOI	Falconara Airport	Ancona		IT	433700N	0133100E	0	A
AOJ	AOJ	Aomori Airport	Aomori		JP	404400N	1404200E	0	A
AOK	AOK	Karpathos Airport	Karpathos		GR	342500N	0270900E	0	A
AOL	AOL	Paso de los Libres Airport	Paso de los Libres	CR	AR	294100S	0570900W	1	A
AON	AON	Arona Airport	Arona		PG	062000S	1460000E	0	A
AOO	AOO	Altoona Airport	Altoona	PA	US	401750N	0781912W	1	A
AOR	AOR	Alor Setar Airport	Alor Setar		MY	061128N	1002414E	0	A
AOS	AOS	Amook Airport	Amook	AK	US	572800N	1535000W	5	A
AOT	AOT	Corrado Gex Airport	Aosta		IT	454419N	0072145E	0	A
AOU	AOU	Attopeu Airport	Attopeu		LA	144800N	1065000E	0	A
APA	DEN	Arapahoe County Airport	Denver	CO	US	394400N	1045900W	3	A
APB	APB	Apolo Airport	Apolo		BO	144300S	0683100W	0	A
APC	APC	Napa County Airport	Napa	CA	US	381244N	1221648W	4	A
APE	APE	San Juan Aposento Airport	San Juan Aposento		PE	115600S	0690500W	0	A
APF	APF	Naples Airport	Naples	FL	US	260910N	0814631W	1	A
APG	APG	Phillips Army Air Field	Aberdeen	MD	US	393000N	0761000W	1	M
APH	APH	Camp A P Hill Airport	Bowling Green	VA	US	380300N	0772100W	1	A
API	API	Apiay Airport	Apiay		CO	040408N	0730307W	0	A
APK	APK	Apataki Airport	Apataki		PF	152500S	1460500W	2	A
APL	APL	Nampula Airport	Nampula		MZ	150606S	0391714E	0	A
APN	APN	Alpena County Regional Airport	Alpena	MI	US	450454N	0833321W	1	A
APO	APO	Apartado Airport	Apartado		CO	070200N	0771200W	0	A
APP	APP	Asapa Airport	Asapa		PG	085900S	1480800E	0	A
APQ	APQ	Arapiraca Airport	Arapiraca	AL	BR	094500S	0363900W	1A	A
APR	APR	April River Airport	April River		PG	083000S	1450000E	0	A
APS	APS	Anapolis Airport	Anapolis	GO	BR	162000S	0485800W	1	A
APT	APT	Marion County Airport	Jasper	TN	US	350400N	0853000W	2	A
